date,Blackpool Marton,Glazebury,Ladybower,Liverpool Speke,Manchester Piccadilly,Preston,Salford Eccles,Warrington,Wigan Centre,Wirral Tranmere
2012-01-01,18.0,18.3,9.1,23.7,44.1,30.8,32.9,24.1,23.1,
2012-01-02,18.0,18.2,9.0,23.6,44.1,30.6,32.8,24.0,23.1,
2012-01-03,17.9,18.1,9.0,23.5,44.0,30.5,32.7,24.0,22.9,
2012-01-04,17.9,18.1,9.0,23.5,43.9,30.4,32.7,23.9,22.8,
2012-01-05,17.9,18.0,9.0,23.4,43.8,30.3,32.6,23.9,22.7,
2012-01-06,17.9,18.1,9.0,23.4,43.8,30.3,32.6,23.8,22.6,
2012-01-07,17.8,17.9,8.9,23.2,43.7,30.2,32.4,23.7,22.5,
2012-01-08,17.8,17.9,8.9,23.2,43.6,30.2,32.4,23.7,22.4,
2012-01-09,17.8,17.9,8.9,23.2,43.7,30.2,32.5,23.7,22.4,
2012-01-10,17.8,18.0,8.9,23.3,43.7,30.2,32.5,23.8,22.5,
2012-01-11,17.8,18.0,8.9,23.2,43.7,30.1,32.5,23.8,22.4,
2012-01-12,17.8,17.9,8.9,23.2,43.6,30.1,32.4,23.8,22.4,
2012-01-13,17.9,17.9,8.9,23.3,43.7,30.1,32.6,23.8,22.4,
2012-01-14,18.0,18.0,8.9,23.4,43.7,30.2,32.7,23.9,22.5,
2012-01-15,18.1,18.1,9.0,23.4,43.7,30.3,32.8,24.0,22.5,
2012-01-16,18.2,18.2,9.0,23.5,43.8,30.4,32.9,24.1,22.6,
2012-01-17,18.3,18.2,9.1,23.5,43.8,30.5,33.0,24.1,22.6,
2012-01-18,18.2,18.2,9.1,23.4,43.8,30.4,32.9,24.1,22.6,
2012-01-19,18.1,18.0,9.1,23.3,43.7,30.3,32.8,24.0,22.5,
2012-01-20,18.0,17.8,9.1,23.1,43.6,30.1,32.6,23.8,22.3,
2012-01-21,17.9,17.7,9.0,23.0,43.4,29.9,32.3,23.7,22.2,
2012-01-22,17.8,17.5,9.0,22.8,43.2,29.8,32.1,23.6,22.1,
2012-01-23,17.7,17.5,9.0,22.8,43.2,29.7,32.0,23.5,22.0,
2012-01-24,17.7,17.5,9.0,22.8,43.3,29.8,32.1,23.5,22.1,
2012-01-25,17.7,17.5,9.0,22.7,43.3,29.8,32.0,23.5,22.2,
2012-01-26,17.8,17.5,9.0,22.7,43.3,29.7,32.0,23.5,22.2,
2012-01-27,17.8,17.5,9.1,22.6,43.3,29.7,32.0,23.5,22.1,
2012-01-28,17.8,17.5,9.0,22.5,43.3,29.8,32.1,23.5,22.1,
2012-01-29,17.8,17.4,9.0,22.5,43.3,29.8,32.1,23.5,22.2,
2012-01-30,17.9,17.4,9.0,22.5,43.3,29.8,32.1,23.5,22.2,
2012-01-31,17.8,17.3,9.0,22.5,43.3,29.7,32.1,23.6,22.1,
2012-02-01,17.8,17.3,9.1,22.6,43.2,29.7,32.0,23.6,22.1,
2012-02-02,17.9,17.4,9.1,22.8,43.3,29.9,32.2,23.7,22.2,
2012-02-03,18.0,17.5,9.1,22.9,43.4,30.0,32.4,23.9,22.4,
